sprite_relative_path,git_blob_sha,source_bytes,processing_state
0000/0000/0001/Attack-Anim.png,eaa1ffd197fbd15b1b1a650cc57b7d60fa6502e2,11676,not_downloaded_or_rendered
0000/0000/0001/Charge-Anim.png,eb4ef7af44d50d795e5b0a6eef0733eed78e8ea2,3821,not_downloaded_or_rendered
0000/0000/0001/Double-Anim.png,2b9300cbfe57b7ae31480335454c32635a83352c,14441,not_downloaded_or_rendered
0000/0000/0001/Hop-Anim.png,fedce0032879eebbc3fb08ffe552e217df1d6402,9224,not_downloaded_or_rendered
0000/0000/0001/Hurt-Anim.png,88947c50819b8e48530f4ff28abacf44a5709a92,1942,not_downloaded_or_rendered
0000/0000/0001/Idle-Anim.png,4932a4b27e2f5a03d17d728f4eac6edb89f84d94,6207,not_downloaded_or_rendered
0000/0000/0001/Rotate-Anim.png,9c32f953799538fcf98aa2fe723dd4bb4a0d8df3,6811,not_downloaded_or_rendered
0000/0000/0001/Sleep-Anim.png,02fc7f4da0367593b56aa01141efaeecbbb85ae4,300,not_downloaded_or_rendered
0000/0000/0001/Swing-Anim.png,c77a2883697ce7606aee752daef4fdcf37747918,11282,not_downloaded_or_rendered
0000/0000/0001/Walk-Anim.png,186566284aa1d6e37ec712b4d58aa43db606aac6,6442,not_downloaded_or_rendered
0000/0001/Attack-Anim.png,ea3b85e98201841c5c3b19934381249ad8f38b92,15168,not_downloaded_or_rendered
0000/0001/Charge-Anim.png,95c1c95d02ddfe73000e8bcd0df251228cf7a7e5,4741,not_downloaded_or_rendered
0000/0001/Cringe-Anim.png,7a7b35b2742f901bab4fed280ae792158dfc0770,698,not_downloaded_or_rendered
0000/0001/DeepBreath-Anim.png,0dfcbdf5f4fd33671add31cb7930a5302294445e,1089,not_downloaded_or_rendered
0000/0001/Double-Anim.png,b0ee5be6e13c2f9d2519bd63288691bcbde2c64f,17005,not_downloaded_or_rendered
0000/0001/Eat-Anim.png,533d0450070fdbbd2897e46dc017fd98bbe8112a,840,not_downloaded_or_rendered
0000/0001/EventSleep-Anim.png,fd840971d39cc15519ab18cc661453c545414f1a,1112,not_downloaded_or_rendered
0000/0001/Faint-Anim.png,283807518f2703f3bd143b87a21be711064178e8,3226,not_downloaded_or_rendered
