v40812_01_cap_large_jour	140	114	9	PASS
v40812_01_cap_large_nuit	140	114	9	PASS
v40812_02_terrasse_croissant_jour	145	113	9	PASS
v40812_02_terrasse_croissant_nuit	145	113	9	PASS
v40812_03_double_belvedere_jour	146	114	9	PASS
v40812_03_double_belvedere_nuit	146	114	9	PASS
v40812_04_pointe_sinueuse_jour	141	114	9	PASS
v40812_04_pointe_sinueuse_nuit	141	114	9	PASS
v40812_05_grande_mesa_jour	143	113	9	PASS
v40812_05_grande_mesa_nuit	143	113	9	PASS
v40812_06_crique_profonde_jour	141	114	9	PASS
v40812_06_crique_profonde_nuit	141	114	9	PASS
v40812_07_balcon_haut_jour	137	114	9	PASS
v40812_07_balcon_haut_nuit	137	114	9	PASS
v40812_08_terrasses_decalees_jour	144	114	9	PASS
v40812_08_terrasses_decalees_nuit	144	114	9	PASS
v40812_09_cap_eventail_jour	139	114	9	PASS
v40812_09_cap_eventail_nuit	139	114	9	PASS
v40812_10_esplanade_arrondie_jour	142	114	9	PASS
v40812_10_esplanade_arrondie_nuit	142	114	9	PASS
